SCHOOL NAME,MASCOT,ABBREVIATION,CONFERENCE,PRIMARY HEX COLOR,SECONDARY HEX COLOR,PRESTIGE,HOME STATE,PIPELINE STATES (separated by .);
Kansas,Jayhawks,KU,Big XII,0051BA,E8000D,95,KS,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Kentucky,Wildcats,UK,SEC,0033A0,C8C9C7,95,KY,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Purdue,Boilermakers,PUR,Big Ten,C28E0E,4D4038,95,IN,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
North Carolina,Tar Heels,UNC,ACC,7BAFD4,13294B,95,NC,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Duke,Blue Devils,DUKE,ACC,001A57,0736A4,95,NC,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
UConn,Huskies,CONN,Big East,000E2F,A2AAAD,95,CT,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
UCLA,Bruins,UCLA,Big Ten,3284BF,FFE800,93,CA,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Arizona,Wildcats,ARIZ,Big XII,CC0033,003366,93,AZ,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Gonzaga,Bulldogs,ZAGA,Pac-12,ffffff,000066,93,WA,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Baylor,Bears,BAY,Big XII,003015,FFBC19,93,TX,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Houston,Cougars,UH,Big XII,C92A39,7D2935,93,TX,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Tennessee,Volunteers,TENN,SEC,FF8200,58595B,93,TN,AL.AK.AZ.AR.CA.CO.CT.DE.FL.GA.HI.ID.IL.IN.IA.KS.KY.LA.ME.MD.MA.MI.MN.MS.MO.MT.NE.NV.NH.NJ.NM.NY.NC.ND.OH.OK.OR.PA.RI.SC.SD.TN.TX.UT.VT.VA.WA.WV.WI.WY.DC;
Indiana,Hoosiers,IU,Big Ten,7D110C,EDEBEB,92,IN,ND.SD.NE.KS.MN.IA.MO.WI.MI.IN.CA.FL.NY.TX.IL.PA.OH.GA.NC;
Illinois,Fighting Illini,ILL,Big Ten,13294B,E04E39,92,IL,ND.SD.NE.KS.MN.IA.MO.WI.MI.IN.CA.FL.NY.TX.IL.PA.OH.GA.NC;
Michigan State,Spartans,MSU,Big Ten,18453B,99A2A2,91,MI,ND.SD.NE.KS.MN.IA.MO.WI.MI.IN.CA.FL.NY.TX.IL.PA.OH.GA.NC;
Iowa State,Cyclones,ISU,Big XII,822433,A71930,89,IA,ND.SD.NE.KS.MN.IA.MO.WI.MI.IN.OH.IL;
Virginia,Cavaliers,UVA,ACC,FA4616,041E42,89,VA,ME.NH.VT.MA.RI.CT.NY.NJ.DE.MD.VA.NC.SC.GA.FL;
Alabama,Crimson Tide,BAMA,SEC,990000,EEEEEE,89,AL,AL.AR.FL.GA.KY.LA.MS.NC.OK.SC.TN.TX.VA;
Villanova,Wildcats,NOVA,Big East,00205B,41B6E6,88,PA,ME.NH.VT.MA.RI.CT.NY.NJ.DE.MD.VA.NC.SC.GA.FL;
Arkansas,Razorbacks,ARK,SEC,9D2235,D24362,88,AR,AL.AR.FL.GA.KY.LA.MS.NC.OK.SC.TN.TX.VA;
